Fe,C,Mn,Cu,Si,P,S,Mo,Ni,Cr,Through Hardening Time,Carburization Time,Normalizing Temperature,Cooling Rate for Tempering,Cooling Rate for Through Hardening,Tempering Temperature,Diffusion time,Quenching Media Temperature (for Carburization),Carburization Temperature,Diffusion Temperature,Reduction Ratio (Ingot to Bar),Through Hardening Temperature,Tempering Time,Fatigue Strength
97.221,0.44,0.75,0.02,0.26,0.017,0.012,0.21,0.02,1.05,30,0,870,24,8,600,0,30,30,30,1740,855,60,578
97.201,0.41,0.77,0.05,0.24,0.014,0.015,0.2,0.04,1.06,30,0,870,24,8,650,0,30,30,30,530,855,60,490
97.111,0.39,0.86,0.12,0.27,0.019,0,0.17,0.1,0.96,30,0,870,24,8,650,0,30,30,30,500,855,60,496
97.209,0.43,0.74,0.02,0.26,0.019,0.012,0.22,0.02,1.07,30,0,870,24,8,650,0,30,30,30,1740,855,60,511
97.222,0.4,0.77,0.13,0.26,0.018,0,0.17,0.05,0.98,30,0,870,24,8,650,0,30,30,30,610,855,60,494
97.181,0.41,0.8,0.1,0.24,0.015,0.024,0.18,0.03,1.02,30,0,870,24,8,650,0,30,30,30,510,855,60,517
97.288,0.41,0.74,0.08,0.25,0.013,0.019,0.16,0.05,0.99,30,0,870,24,8,650,0,30,30,30,700,855,60,480
97.011,0.39,0.77,0.15,0.28,0.021,0.018,0.19,0.09,1.08,30,0,870,24,8,650,0,30,30,30,1120,855,60,502
97.436,0.37,0.69,0.02,0.24,0.018,0.016,0.19,0.02,1,30,0,870,24,8,650,0,30,30,30,1740,855,60,504
97.028,0.42,0.77,0.09,0.29,0.015,0.017,0.15,0.12,1.1,30,0,870,24,8,650,0,30,30,30,500,855,60,505
97.135,0.42,0.75,0.12,0.28,0.015,0,0.17,0.07,1.04,30,0,870,24,8,650,0,30,30,30,820,855,60,502
97.099,0.4,0.74,0.15,0.26,0.024,0.017,0.17,0.13,1.01,30,0,870,24,8,650,0,30,30,30,500,855,60,496
97.034,0.4,0.87,0.11,0.25,0.011,0.015,0.18,0.07,1.06,30,0,870,24,8,650,0,30,30,30,700,855,60,501
97.41,0.4,0.7,0.12,0.22,0,0,0.17,0.04,0.94,30,0,870,24,8,650,0,30,30,30,820,855,60,517
97.088,0.4,0.74,0.1,0.25,0.014,0.028,0.18,0.24,0.96,30,0,870,24,8,650,0,30,30,30,510,855,60,523
97.221,0.44,0.75,0.02,0.26,0.017,0.012,0.21,0.02,1.05,30,0,870,24,8,650,0,30,30,30,1740,855,60,516
97.545,0.39,1.57,0.06,0.22,0.017,0.018,0,0.05,0.13,30,0,870,24,8,550,0,30,30,30,480,845,60,486
97.588,0.38,1.52,0.07,0.27,0.012,0,0,0.03,0.13,30,0,870,24,8,550,0,30,30,30,610,845,60,427
97.808,0.4,1.34,0.02,0.25,0.017,0.015,0,0.02,0.13,30,0,870,24,8,550,0,30,30,30,1740,845,60,510
97.59,0.4,1.56,0.05,0.22,0.011,0.019,0,0.06,0.09,30,0,870,24,8,550,0,30,30,30,530,845,60,451
97.48,0.41,1.51,0.08,0.24,0.02,0,0,0.04,0.22,30,0,870,24,8,550,0,30,30,30,610,845,60,425
97.508,0.38,1.59,0.05,0.21,0.017,0.015,0,0.03,0.2,30,0,870,24,8,550,0,30,30,30,480,845,60,432
97.871,0.4,1.38,0.02,0.25,0.017,0.012,0,0.02,0.03,30,0,870,24,8,550,0,30,30,30,1740,845,60,482
97.545,0.39,1.57,0.06,0.22,0.017,0.018,0,0.05,0.13,30,0,870,24,8,600,0,30,30,30,480,845,60,435
97.588,0.38,1.52,0.07,0.27,0.012,0,0,0.03,0.13,30,0,870,24,8,600,0,30,30,30,610,845,60,406
97.808,0.4,1.34,0.02,0.25,0.017,0.015,0,0.02,0.13,30,0,870,24,8,600,0,30,30,30,1740,845,60,470
97.59,0.4,1.56,0.05,0.22,0.011,0.019,0,0.06,0.09,30,0,870,24,8,600,0,30,30,30,530,845,60,438
97.48,0.41,1.51,0.08,0.24,0.02,0,0,0.04,0.22,30,0,870,24,8,600,0,30,30,30,610,845,60,404
97.508,0.38,1.59,0.05,0.21,0.017,0.015,0,0.03,0.2,30,0,870,24,8,600,0,30,30,30,480,845,60,406
97.871,0.4,1.38,0.02,0.25,0.017,0.012,0,0.02,0.03,30,0,870,24,8,600,0,30,30,30,1740,845,60,443
97.545,0.39,1.57,0.06,0.22,0.017,0.018,0,0.05,0.13,30,0,870,24,8,650,0,30,30,30,480,845,60,397
97.588,0.38,1.52,0.07,0.27,0.012,0,0,0.03,0.13,30,0,870,24,8,650,0,30,30,30,610,845,60,385
97.808,0.4,1.34,0.02,0.25,0.017,0.015,0,0.02,0.13,30,0,870,24,8,650,0,30,30,30,1740,845,60,425
97.59,0.4,1.56,0.05,0.22,0.011,0.019,0,0.06,0.09,30,0,870,24,8,650,0,30,30,30,530,845,60,396
97.48,0.41,1.51,0.08,0.24,0.02,0,0,0.04,0.22,30,0,870,24,8,650,0,30,30,30,610,845,60,380
97.508,0.38,1.59,0.05,0.21,0.017,0.015,0,0.03,0.2,30,0,870,24,8,650,0,30,30,30,480,845,60,363
97.871,0.4,1.38,0.02,0.25,0.017,0.012,0,0.02,0.03,30,0,870,24,8,650,0,30,30,30,1740,845,60,398
97.61,0.42,1.5,0.05,0.23,0,0,0,0.04,0.15,30,0,870,24,8,550,0,30,30,30,820,845,60,505
97.393,0.43,1.38,0.1,0.34,0.017,0,0,0.08,0.26,30,0,870,24,8,550,0,30,30,30,1100,845,60,536
97.521,0.42,1.6,0.07,0.21,0.014,0.015,0,0.03,0.12,30,0,870,24,8,550,0,30,30,30,480,845,60,484
97.424,0.42,1.58,0.07,0.24,0.014,0.022,0,0.06,0.17,30,0,870,24,8,550,0,30,30,30,480,845,60,495
97.675,0.42,1.51,0,0.21,0.026,0.019,0,0.02,0.12,30,0,870,24,8,550,0,30,30,30,1510,845,60,551
97.4,0.45,1.58,0.08,0.33,0,0,0,0.06,0.1,30,0,870,24,8,550,0,30,30,30,740,845,60,477
97.415,0.41,1.36,0.1,0.34,0.02,0.015,0,0.07,0.27,30,0,870,24,8,550,0,30,30,30,1100,845,60,530
97.777,0.4,1.47,0,0.25,0.027,0.016,0,0.02,0.04,30,0,870,24,8,550,0,30,30,30,1510,845,60,516
97.72,0.41,1.48,0.06,0.22,0,0,0,0.03,0.08,30,0,870,24,8,550,0,30,30,30,820,845,60,445
97.276,0.46,1.49,0.1,0.3,0.014,0,0,0.1,0.26,30,0,870,24,8,550,0,30,30,30,1100,845,60,551
97.591,0.43,1.46,0.02,0.26,0.012,0.017,0,0.02,0.19,30,0,870,24,8,550,0,30,30,30,1740,845,60,510
97.538,0.41,1.58,0.05,0.22,0.014,0.018,0,0.04,0.13,30,0,870,24,8,550,0,30,30,30,480,845,60,443
97.61,0.42,1.5,0.05,0.23,0,0,0,0.04,0.15,30,0,870,24,8,600,0,30,30,30,820,845,60,449
97.393,0.43,1.38,0.1,0.34,0.017,0,0,0.08,0.26,30,0,870,24,8,600,0,30,30,30,1100,845,60,502
97.521,0.42,1.6,0.07,0.21,0.014,0.015,0,0.03,0.12,30,0,870,24,8,600,0,30,30,30,480,845,60,451
97.424,0.42,1.58,0.07,0.24,0.014,0.022,0,0.06,0.17,30,0,870,24,8,600,0,30,30,30,480,845,60,459
97.675,0.42,1.51,0,0.21,0.026,0.019,0,0.02,0.12,30,0,870,24,8,600,0,30,30,30,1510,845,60,497
97.4,0.45,1.58,0.08,0.33,0,0,0,0.06,0.1,30,0,870,24,8,600,0,30,30,30,740,845,60,451
97.415,0.41,1.36,0.1,0.34,0.02,0.015,0,0.07,0.27,30,0,870,24,8,600,0,30,30,30,1100,845,60,497
97.777,0.4,1.47,0,0.25,0.027,0.016,0,0.02,0.04,30,0,870,24,8,600,0,30,30,30,1510,845,60,461
97.72,0.41,1.48,0.06,0.22,0,0,0,0.03,0.08,30,0,870,24,8,600,0,30,30,30,820,845,60,399
97.276,0.46,1.49,0.1,0.3,0.014,0,0,0.1,0.26,30,0,870,24,8,600,0,30,30,30,1100,845,60,502
97.591,0.43,1.46,0.02,0.26,0.012,0.017,0,0.02,0.19,30,0,870,24,8,600,0,30,30,30,1740,845,60,490
97.538,0.41,1.58,0.05,0.22,0.014,0.018,0,0.04,0.13,30,0,870,24,8,600,0,30,30,30,480,845,60,424
97.61,0.42,1.5,0.05,0.23,0,0,0,0.04,0.15,30,0,870,24,8,650,0,30,30,30,820,845,60,411
97.393,0.43,1.38,0.1,0.34,0.017,0,0,0.08,0.26,30,0,870,24,8,650,0,30,30,30,1100,845,60,448
97.521,0.42,1.6,0.07,0.21,0.014,0.015,0,0.03,0.12,30,0,870,24,8,650,0,30,30,30,480,845,60,404
97.424,0.42,1.58,0.07,0.24,0.014,0.022,0,0.06,0.17,30,0,870,24,8,650,0,30,30,30,480,845,60,411
97.675,0.42,1.51,0,0.21,0.026,0.019,0,0.02,0.12,30,0,870,24,8,650,0,30,30,30,1510,845,60,438
97.4,0.45,1.58,0.08,0.33,0,0,0,0.06,0.1,30,0,870,24,8,650,0,30,30,30,740,845,60,410
97.415,0.41,1.36,0.1,0.34,0.02,0.015,0,0.07,0.27,30,0,870,24,8,650,0,30,30,30,1100,845,60,450
97.777,0.4,1.47,0,0.25,0.027,0.016,0,0.02,0.04,30,0,870,24,8,650,0,30,30,30,1510,845,60,410
97.72,0.41,1.48,0.06,0.22,0,0,0,0.03,0.08,30,0,870,24,8,650,0,30,30,30,820,845,60,383
97.276,0.46,1.49,0.1,0.3,0.014,0,0,0.1,0.26,30,0,870,24,8,650,0,30,30,30,1100,845,60,460
97.591,0.43,1.46,0.02,0.26,0.012,0.017,0,0.02,0.19,30,0,870,24,8,650,0,30,30,30,1740,845,60,442
97.538,0.41,1.58,0.05,0.22,0.014,0.018,0,0.04,0.13,30,0,870,24,8,650,0,30,30,30,480,845,60,399
95.32,0.32,0.49,0.09,0.3,0,0,0,2.66,0.82,30,0,900,24,8,550,0,30,30,30,610,845,60,563
95.44,0.32,0.58,0.06,0.24,0,0,0,2.65,0.71,30,0,900,24,8,550,0,30,30,30,700,845,60,530
95.392,0.32,0.54,0.05,0.29,0.018,0,0,2.64,0.75,30,0,900,24,8,550,0,30,30,30,420,845,60,570
95.111,0.35,0.54,0.05,0.26,0.019,0,0,2.78,0.89,30,0,900,24,8,550,0,30,30,30,420,845,60,578
95.438,0.31,0.56,0.1,0.22,0.016,0.016,0,2.63,0.71,30,0,900,24,8,550,0,30,30,30,700,845,60,537
95.34,0.33,0.49,0.06,0.3,0,0,0,2.66,0.82,30,0,900,24,8,550,0,30,30,30,820,845,60,569
95.311,0.28,0.53,0.05,0.27,0.019,0,0,2.67,0.87,30,0,900,24,8,550,0,30,30,30,420,845,60,576
95.23,0.34,0.65,0.05,0.26,0,0,0,2.63,0.84,30,0,900,24,8,550,0,30,30,30,700,845,60,549
95.302,0.3,0.53,0.07,0.27,0.018,0,0,2.7,0.81,30,0,900,24,8,550,0,30,30,30,820,845,60,522
95.347,0.32,0.52,0.06,0.3,0.013,0,0,2.67,0.77,30,0,900,24,8,550,0,30,30,30,1740,845,60,570
95.32,0.32,0.49,0.09,0.3,0,0,0,2.66,0.82,30,0,900,24,8,600,0,30,30,30,610,845,60,510
95.44,0.32,0.58,0.06,0.24,0,0,0,2.65,0.71,30,0,900,24,8,600,0,30,30,30,700,845,60,510
95.392,0.32,0.54,0.05,0.29,0.018,0,0,2.64,0.75,30,0,900,24,8,600,0,30,30,30,420,845,60,517
95.111,0.35,0.54,0.05,0.26,0.019,0,0,2.78,0.89,30,0,900,24,8,600,0,30,30,30,420,845,60,540
95.438,0.31,0.56,0.1,0.22,0.016,0.016,0,2.63,0.71,30,0,900,24,8,600,0,30,30,30,700,845,60,518
95.34,0.33,0.49,0.06,0.3,0,0,0,2.66,0.82,30,0,900,24,8,600,0,30,30,30,820,845,60,523
95.311,0.28,0.53,0.05,0.27,0.019,0,0,2.67,0.87,30,0,900,24,8,600,0,30,30,30,420,845,60,537
95.23,0.34,0.65,0.05,0.26,0,0,0,2.63,0.84,30,0,900,24,8,600,0,30,30,30,700,845,60,536
95.302,0.3,0.53,0.07,0.27,0.018,0,0,2.7,0.81,30,0,900,24,8,600,0,30,30,30,820,845,60,503
95.347,0.32,0.52,0.06,0.3,0.013,0,0,2.67,0.77,30,0,900,24,8,600,0,30,30,30,1740,845,60,540
95.32,0.32,0.49,0.09,0.3,0,0,0,2.66,0.82,30,0,900,24,8,650,0,30,30,30,610,845,60,490
95.44,0.32,0.58,0.06,0.24,0,0,0,2.65,0.71,30,0,900,24,8,650,0,30,30,30,700,845,60,477
95.392,0.32,0.54,0.05,0.29,0.018,0,0,2.64,0.75,30,0,900,24,8,650,0,30,30,30,420,845,60,483
95.111,0.35,0.54,0.05,0.26,0.019,0,0,2.78,0.89,30,0,900,24,8,650,0,30,30,30,420,845,60,503
95.438,0.31,0.56,0.1,0.22,0.016,0.016,0,2.63,0.71,30,0,900,24,8,650,0,30,30,30,700,845,60,471
95.34,0.33,0.49,0.06,0.3,0,0,0,2.66,0.82,30,0,900,24,8,650,0,30,30,30,820,845,60,476
95.311,0.28,0.53,0.05,0.27,0.019,0,0,2.67,0.87,30,0,900,24,8,650,0,30,30,30,420,845,60,502
95.23,0.34,0.65,0.05,0.26,0,0,0,2.63,0.84,30,0,900,24,8,650,0,30,30,30,700,845,60,496
95.302,0.3,0.53,0.07,0.27,0.018,0,0,2.7,0.81,30,0,900,24,8,650,0,30,30,30,820,845,60,471
95.347,0.32,0.52,0.06,0.3,0.013,0,0,2.67,0.77,30,0,900,24,8,650,0,30,30,30,1740,845,60,497
95.998,0.39,0.77,0.07,0.19,0,0.012,0.18,1.67,0.72,30,0,870,24,8,580,0,30,30,30,640,845,60,591
95.789,0.4,0.7,0.09,0.23,0.011,0,0.18,1.82,0.78,30,0,870,24,8,580,0,30,30,30,740,845,60,590
95.328,0.4,0.79,0.05,0.29,0.022,0,0.24,1.92,0.96,30,0,870,24,8,580,0,30,30,30,420,845,60,606
96.019,0.4,0.7,0.08,0.25,0.021,0.02,0.17,1.63,0.71,30,0,870,24,8,580,0,30,30,30,590,845,60,584
95.797,0.38,0.71,0.04,0.26,0.016,0.017,0.23,1.8,0.75,30,0,870,24,8,580,0,30,30,30,5530,845,60,604
95.787,0.4,0.73,0.08,0.33,0.011,0.012,0.2,1.71,0.74,30,0,870,24,8,580,0,30,30,30,1290,845,60,591
95.837,0.42,0.73,0.09,0.25,0.012,0.021,0.22,1.69,0.73,30,0,870,24,8,580,0,30,30,30,640,845,60,588
95.974,0.38,0.71,0.12,0.26,0.016,0,0.16,1.66,0.72,30,0,870,24,8,580,0,30,30,30,590,845,60,588
95.627,0.41,0.74,0.12,0.29,0.013,0,0.22,1.84,0.74,30,0,870,24,8,580,0,30,30,30,820,845,60,550
95.722,0.39,0.71,0.09,0.25,0.015,0.013,0.23,1.76,0.82,30,0,870,24,8,580,0,30,30,30,640,845,60,609
95.868,0.38,0.7,0.07,0.29,0.012,0,0.19,1.75,0.74,30,0,870,24,8,580,0,30,30,30,820,845,60,604
95.444,0.42,0.78,0.04,0.3,0.016,0,0.24,1.9,0.86,30,0,870,24,8,580,0,30,30,30,420,845,60,619
95.513,0.37,0.76,0.03,0.29,0.017,0,0.24,1.88,0.9,30,0,870,24,8,580,0,30,30,30,420,845,60,643
96.04,0.43,0.68,0.09,0.26,0.012,0.018,0.17,1.62,0.68,30,0,870,24,8,580,0,30,30,30,590,845,60,569
95.998,0.39,0.77,0.07,0.19,0,0.012,0.18,1.67,0.72,30,0,870,24,8,630,0,30,30,30,640,845,60,551
95.789,0.4,0.7,0.09,0.23,0.011,0,0.18,1.82,0.78,30,0,870,24,8,630,0,30,30,30,740,845,60,543
95.328,0.4,0.79,0.05,0.29,0.022,0,0.24,1.92,0.96,30,0,870,24,8,630,0,30,30,30,420,845,60,543
96.019,0.4,0.7,0.08,0.25,0.021,0.02,0.17,1.63,0.71,30,0,870,24,8,630,0,30,30,30,590,845,60,524
95.797,0.38,0.71,0.04,0.26,0.016,0.017,0.23,1.8,0.75,30,0,870,24,8,630,0,30,30,30,5530,845,60,571
95.787,0.4,0.73,0.08,0.33,0.011,0.012,0.2,1.71,0.74,30,0,870,24,8,630,0,30,30,30,1290,845,60,542
95.837,0.42,0.73,0.09,0.25,0.012,0.021,0.22,1.69,0.73,30,0,870,24,8,630,0,30,30,30,640,845,60,531
95.974,0.38,0.71,0.12,0.26,0.016,0,0.16,1.66,0.72,30,0,870,24,8,630,0,30,30,30,590,845,60,531
95.627,0.41,0.74,0.12,0.29,0.013,0,0.22,1.84,0.74,30,0,870,24,8,630,0,30,30,30,820,845,60,512
95.722,0.39,0.71,0.09,0.25,0.015,0.013,0.23,1.76,0.82,30,0,870,24,8,630,0,30,30,30,640,845,60,563
95.868,0.38,0.7,0.07,0.29,0.012,0,0.19,1.75,0.74,30,0,870,24,8,630,0,30,30,30,820,845,60,550
95.444,0.42,0.78,0.04,0.3,0.016,0,0.24,1.9,0.86,30,0,870,24,8,630,0,30,30,30,420,845,60,583
95.513,0.37,0.76,0.03,0.29,0.017,0,0.24,1.88,0.9,30,0,870,24,8,630,0,30,30,30,420,845,60,583
96.04,0.43,0.68,0.09,0.26,0.012,0.018,0.17,1.62,0.68,30,0,870,24,8,630,0,30,30,30,590,845,60,550
95.998,0.39,0.77,0.07,0.19,0,0.012,0.18,1.67,0.72,30,0,870,24,8,680,0,30,30,30,640,845,60,482
95.789,0.4,0.7,0.09,0.23,0.011,0,0.18,1.82,0.78,30,0,870,24,8,680,0,30,30,30,740,845,60,482
95.328,0.4,0.79,0.05,0.29,0.022,0,0.24,1.92,0.96,30,0,870,24,8,680,0,30,30,30,420,845,60,490
96.019,0.4,0.7,0.08,0.25,0.021,0.02,0.17,1.63,0.71,30,0,870,24,8,680,0,30,30,30,590,845,60,476
95.797,0.38,0.71,0.04,0.26,0.016,0.017,0.23,1.8,0.75,30,0,870,24,8,680,0,30,30,30,5530,845,60,483
95.787,0.4,0.73,0.08,0.33,0.011,0.012,0.2,1.71,0.74,30,0,870,24,8,680,0,30,30,30,1290,845,60,480
95.837,0.42,0.73,0.09,0.25,0.012,0.021,0.22,1.69,0.73,30,0,870,24,8,680,0,30,30,30,640,845,60,491
95.974,0.38,0.71,0.12,0.26,0.016,0,0.16,1.66,0.72,30,0,870,24,8,680,0,30,30,30,590,845,60,471
95.627,0.41,0.74,0.12,0.29,0.013,0,0.22,1.84,0.74,30,0,870,24,8,680,0,30,30,30,820,845,60,469
95.722,0.39,0.71,0.09,0.25,0.015,0.013,0.23,1.76,0.82,30,0,870,24,8,680,0,30,30,30,640,845,60,490
95.868,0.38,0.7,0.07,0.29,0.012,0,0.19,1.75,0.74,30,0,870,24,8,680,0,30,30,30,820,845,60,483
95.444,0.42,0.78,0.04,0.3,0.016,0,0.24,1.9,0.86,30,0,870,24,8,680,0,30,30,30,420,845,60,498
95.513,0.37,0.76,0.03,0.29,0.017,0,0.24,1.88,0.9,30,0,870,24,8,680,0,30,30,30,420,845,60,491
96.04,0.43,0.68,0.09,0.26,0.012,0.018,0.17,1.62,0.68,30,0,870,24,8,680,0,30,30,30,590,845,60,463
95.909,0.47,0.72,0.06,0.28,0.011,0,0,1.76,0.79,30,0,870,24,8,580,0,30,30,30,740,845,60,600
96.114,0.47,0.76,0.06,0.19,0.013,0.013,0,1.67,0.71,30,0,870,24,8,580,0,30,30,30,640,845,60,615
95.95,0.44,0.74,0.09,0.25,0,0,0,1.74,0.79,30,0,870,24,8,580,0,30,30,30,820,845,60,607
96.154,0.45,0.79,0.05,0.16,0,0.016,0,1.65,0.73,30,0,870,24,8,580,0,30,30,30,640,845,60,596
96.104,0.48,0.7,0.11,0.2,0,0.016,0,1.66,0.73,30,0,870,24,8,580,0,30,30,30,640,845,60,618
95.865,0.49,0.69,0.07,0.29,0.014,0.011,0,1.8,0.77,30,0,870,24,8,580,0,30,30,30,820,845,60,585
95.909,0.47,0.72,0.06,0.28,0.011,0,0,1.76,0.79,30,0,870,24,8,630,0,30,30,30,740,845,60,551
96.114,0.47,0.76,0.06,0.19,0.013,0.013,0,1.67,0.71,30,0,870,24,8,630,0,30,30,30,640,845,60,556
95.95,0.44,0.74,0.09,0.25,0,0,0,1.74,0.79,30,0,870,24,8,630,0,30,30,30,820,845,60,550
96.154,0.45,0.79,0.05,0.16,0,0.016,0,1.65,0.73,30,0,870,24,8,630,0,30,30,30,640,845,60,537
96.104,0.48,0.7,0.11,0.2,0,0.016,0,1.66,0.73,30,0,870,24,8,630,0,30,30,30,640,845,60,543
95.865,0.49,0.69,0.07,0.29,0.014,0.011,0,1.8,0.77,30,0,870,24,8,630,0,30,30,30,820,845,60,543
95.909,0.47,0.72,0.06,0.28,0.011,0,0,1.76,0.79,30,0,870,24,8,680,0,30,30,30,740,845,60,471
96.114,0.47,0.76,0.06,0.19,0.013,0.013,0,1.67,0.71,30,0,870,24,8,680,0,30,30,30,640,845,60,476
95.95,0.44,0.74,0.09,0.25,0,0,0,1.74,0.79,30,0,870,24,8,680,0,30,30,30,820,845,60,482
96.154,0.45,0.79,0.05,0.16,0,0.016,0,1.65,0.73,30,0,870,24,8,680,0,30,30,30,640,845,60,477
96.104,0.48,0.7,0.11,0.2,0,0.016,0,1.66,0.73,30,0,870,24,8,680,0,30,30,30,640,845,60,491
95.865,0.49,0.69,0.07,0.29,0.014,0.011,0,1.8,0.77,30,0,870,24,8,680,0,30,30,30,820,845,60,479
96.251,0.6,0.85,0.12,1.96,0.019,0,0,0.05,0.15,30,0,845,24,8,430,0,30,30,30,721,845,60,781
96.323,0.59,0.92,0,1.99,0.027,0,0,0,0.15,30,0,845,24,8,430,0,30,30,30,1228,845,60,698
96.007,0.61,0.86,0.12,2.05,0.019,0.014,0,0.16,0.16,30,0,845,24,8,430,0,30,30,30,1455,845,60,906
96.251,0.6,0.85,0.12,1.96,0.019,0,0,0.05,0.15,30,0,845,24,8,500,0,30,30,30,721,845,60,740
96.323,0.59,0.92,0,1.99,0.027,0,0,0,0.15,30,0,845,24,8,500,0,30,30,30,1228,845,60,678
96.007,0.61,0.86,0.12,2.05,0.019,0.014,0,0.16,0.16,30,0,845,24,8,500,0,30,30,30,1455,845,60,770
97.001,0.61,0.87,0.2,0.28,0.019,0.02,0.05,0.08,0.87,30,0,845,24,8,420,0,30,30,30,622,845,60,794
97.53,0.63,0.77,0.02,0.17,0.026,0.014,0,0.03,0.81,30,0,845,24,8,420,0,30,30,30,289,845,60,855
97.234,0.62,0.88,0.12,0.29,0.026,0,0.03,0.05,0.75,30,0,845,24,8,420,0,30,30,30,796,845,60,768
97.001,0.61,0.87,0.2,0.28,0.019,0.02,0.05,0.08,0.87,30,0,845,24,8,490,0,30,30,30,622,845,60,745
97.53,0.63,0.77,0.02,0.17,0.026,0.014,0,0.03,0.81,30,0,845,24,8,490,0,30,30,30,289,845,60,707
97.234,0.62,0.88,0.12,0.29,0.026,0,0.03,0.05,0.75,30,0,845,24,8,490,0,30,30,30,796,845,60,718
96.519,0.53,0.69,0,1.49,0.011,0,0,0.02,0.74,30,0,845,24,8,430,0,30,30,30,925,845,60,874
96.68,0.53,0.75,0.06,1.31,0,0,0,0.04,0.63,30,0,845,24,8,430,0,30,30,30,1455,845,60,829
96.136,0.53,0.68,0.26,1.51,0.013,0.011,0.05,0.13,0.68,30,0,845,24,8,430,0,30,30,30,622,845,60,700
96.497,0.54,0.69,0,1.5,0.013,0,0,0.02,0.74,30,0,845,24,8,500,0,30,30,30,925,845,60,806
96.67,0.53,0.75,0.06,1.31,0,0,0,0.04,0.64,30,0,845,24,8,500,0,30,30,30,1455,845,60,720
96.165,0.53,0.67,0.26,1.5,0.014,0.011,0.05,0.13,0.67,30,0,845,24,8,500,0,30,30,30,622,845,60,688
96.359,0.21,0.62,0.07,0.29,0.015,0.016,0.21,1.62,0.59,0,139.8,930,0.5,0,160,15,60,930,850,440,30,120,1034
96.368,0.23,0.51,0.11,0.35,0,0.012,0.18,1.69,0.55,0,139.8,930,0.5,0,160,15,60,930,850,860,30,120,1139
96.684,0.17,0.55,0.05,0.28,0,0.016,0.16,1.64,0.45,0,139.8,930,0.5,0,160,15,60,930,850,440,30,120,1002
96.359,0.21,0.62,0.07,0.29,0.015,0.016,0.21,1.62,0.59,0,469.8,930,0.5,0,160,15,60,930,850,440,30,120,1056
96.368,0.23,0.51,0.11,0.35,0,0.012,0.18,1.69,0.55,0,469.8,930,0.5,0,160,15,60,930,850,860,30,120,1124
96.684,0.17,0.55,0.05,0.28,0,0.016,0.16,1.64,0.45,0,469.8,930,0.5,0,160,15,60,930,850,440,30,120,1082
96.359,0.21,0.62,0.07,0.29,0.015,0.016,0.21,1.62,0.59,0,540,930,0.5,0,160,15,140,930,850,440,30,120,1054
96.368,0.23,0.51,0.11,0.35,0,0.012,0.18,1.69,0.55,0,540,930,0.5,0,160,15,140,930,850,860,30,120,1190
96.684,0.17,0.55,0.05,0.28,0,0.016,0.16,1.64,0.45,0,540,930,0.5,0,160,15,140,930,850,440,30,120,935
96.359,0.21,0.62,0.07,0.29,0.015,0.016,0.21,1.62,0.59,0,469.8,930,0.5,0,200,15,60,930,850,440,30,120,1037
96.368,0.23,0.51,0.11,0.35,0,0.012,0.18,1.69,0.55,0,469.8,930,0.5,0,200,15,60,930,850,860,30,120,1110
96.684,0.17,0.55,0.05,0.28,0,0.016,0.16,1.64,0.45,0,469.8,930,0.5,0,200,15,60,930,850,440,30,120,1035
97.338,0.2,0.77,0.2,0.32,0.024,0.028,0.19,0.46,0.47,0,130.2,930,0.5,0,160,25.2,60,930,882.381,390,30,120,927
97.338,0.23,0.85,0.07,0.29,0.011,0.011,0.16,0.44,0.6,0,130.2,930,0.5,0,160,25.2,60,930,882.381,440,30,120,976
97.316,0.18,0.76,0.12,0.26,0,0.014,0.17,0.56,0.62,0,130.2,930,0.5,0,160,25.2,60,930,882.381,690,30,120,986
97.338,0.2,0.77,0.2,0.32,0.024,0.028,0.19,0.46,0.47,0,450,930,0.5,0,160,34.8,60,930,895.517,390,30,120,956
97.338,0.23,0.85,0.07,0.29,0.011,0.011,0.16,0.44,0.6,0,450,930,0.5,0,160,34.8,60,930,895.517,440,30,120,946
97.316,0.18,0.76,0.12,0.26,0,0.014,0.17,0.56,0.62,0,450,930,0.5,0,160,34.8,60,930,895.517,690,30,120,1089
97.338,0.2,0.77,0.2,0.32,0.024,0.028,0.19,0.46,0.47,0,510,930,0.5,0,160,45,140,930,903.333,390,30,120,960
97.338,0.23,0.85,0.07,0.29,0.011,0.011,0.16,0.44,0.6,0,510,930,0.5,0,160,45,140,930,903.333,440,30,120,1033
97.316,0.18,0.76,0.12,0.26,0,0.014,0.17,0.56,0.62,0,510,930,0.5,0,160,45,140,930,903.333,690,30,120,1080
97.338,0.2,0.77,0.2,0.32,0.024,0.028,0.19,0.46,0.47,0,450,930,0.5,0,200,34.8,60,930,895.517,390,30,120,924
97.338,0.23,0.85,0.07,0.29,0.011,0.011,0.16,0.44,0.6,0,450,930,0.5,0,200,34.8,60,930,895.517,440,30,120,1009
97.316,0.18,0.76,0.12,0.26,0,0.014,0.17,0.56,0.62,0,450,930,0.5,0,200,34.8,60,930,895.517,690,30,120,1053
97.369,0.21,0.76,0.14,0.3,0.021,0,0.03,0.08,1.09,0,100.2,930,0.5,0,160,34.8,60,930,895.517,460,30,120,854
97.469,0.23,0.8,0.07,0.2,0.013,0.018,0.02,0.04,1.14,0,100.2,930,0.5,0,160,34.8,60,930,895.517,690,30,120,1086
97.452,0.19,0.77,0.16,0.21,0.017,0.011,0.05,0.12,1.02,0,100.2,930,0.5,0,160,34.8,60,930,895.517,390,30,120,889
